Product_ID,Production_Date,Material_Type,Material_Thickness_mm,Thermal_Resistance_R_Value,Production_Time_Minutes,Machine_Efficiency_Percent,Defect_Rate_Percent,Quality_Score,Energy_Consumption_kWh,Unit_Production_Cost_INR,Selling_Price_INR,Market_Demand_Index,Monthly_Sales_Units,Profit_Per_Unit
1,2024-01-01,Polyurethane,36.417277130888536,6.152654281089744,102.7518922106303,78.02254736995944,3.196846791528749,85.56243541344128,18.047009291555177,4628.6343970824155,7848.9856653530705,86.1664981890712,312,3220.351268270655
2,2024-01-02,Vacuum Panel,29.12433648548542,5.833455021037848,96.45277946547176,92.47392874588203,2.8116853484688717,71.53496519336427,13.202536101158625,5498.680784661688,7618.648448716446,101.52121578557352,954,2119.9676640547577
3,2024-01-03,Aerogel,18.92874273288475,2.2051365264514855,77.35289514555733,97.92266119730087,1.7968303668178827,76.98575670628283,28.97812719378093,3375.2667295092106,7561.2711597530315,88.97910891941939,768,4186.004430243821
4,2024-01-04,Polyurethane,41.62077588681269,4.729982621009251,115.60471436119332,70.840728149223,0.5290896100536975,84.76005188296249,10.398769389380739,3389.348897167834,8944.459418432714,115.03146200017608,688,5555.11052126488
5,2024-01-05,Polyurethane,35.812902764924566,5.0415649502868565,40.04745155284028,95.1262442421461,2.733076498553663,79.30705851234114,13.390646177053327,4670.455080834923,7306.729654831492,76.4577848948899,606,2636.2745739965685
6,2024-01-06,Vacuum Panel,12.31776227052011,5.190582247175204,30.92642103096214,87.43365494076242,1.785316948530094,75.45290793283583,42.305034782519,5839.135960075113,8466.655817433724,82.45730640412246,566,2627.5198573586113
7,2024-01-07,Aerogel,45.99172330222291,6.641378953818658,105.39619669554222,97.254713336615,3.805737353197408,85.12398525755314,40.85893379438426,4244.993275112263,7000.82057887835,56.19656206503099,259,2755.8273037660865
8,2024-01-08,Aerogel,42.0141759315426,6.268820373815028,63.91498166337483,83.02026649073997,0.6077581937171757,79.68429380343551,46.60555281619584,3980.826300764085,8192.365338804753,92.62993777363499,528,4211.539038040668
9,2024-01-09,Polyurethane,47.740996098136584,6.863240742347557,104.69688542070605,93.72686205599847,3.131725150876059,77.74322929520244,44.18061743642998,4820.067969593658,8831.886007908104,70.17483779136742,927,4011.8180383144463
10,2024-01-10,Fiberglass,37.6573778774762,8.119066092337025,109.30902051954149,71.74703392075176,4.7366340687772945,83.91956252321143,37.327022529592725,5791.345801635093,7575.868188186438,61.22163276608982,668,1784.5223865513444
11,2024-01-11,Polyurethane,32.60368381711054,8.503885909728748,26.245759361907144,79.38781340219228,1.2848417020017477,73.9985277424652,12.093314292026513,5510.78349853387,7371.051950515438,88.11719050331556,944,1860.2684519815675
12,2024-01-12,Polyurethane,23.82093663307785,7.744984609811955,108.34647629860606,71.87646305703387,2.622422708377679,97.83237199226221,41.3139447194663,5986.45083219966,8303.359589756854,87.26171843659374,766,2316.908757557194
13,2024-01-13,Polyurethane,46.972781750930594,9.644189567639478,64.83190553694222,97.30960773741398,0.9113989631771218,96.03106293757718,43.820432433622415,3067.705749607131,8425.202814596787,55.31101488568333,919,5357.497064989656
14,2024-01-14,Polyurethane,43.97287502751838,2.145860661410893,71.04324890042322,92.87526940361143,3.315568605176087,91.22861757221605,41.96328583087818,3338.5744341382865,8376.061037903963,98.8750817446131,262,5037.486603765676
15,2024-01-15,Vacuum Panel,7.034840154778523,3.5662238854683688,82.65925110932102,93.87132779488718,2.9773925626830153,73.18641482765369,30.339161412321044,4828.403290099866,7638.633760042748,93.6640533455597,383,2810.2304699428814
16,2024-01-16,Aerogel,6.18651385237634,2.060502999825137,112.63826067300867,96.26302648014904,2.3331448589577457,93.27631763409079,19.316073545979265,5461.7293180015495,7504.404804318662,63.2312097922548,510,2042.6754863171127
17,2024-01-17,Vacuum Panel,21.940851509512232,7.179797713236824,21.911609442976403,72.382897611354,2.8461965966318354,94.23871984327057,43.81319902754907,3855.7330269202994,8911.837599924089,82.86044035078307,992,5056.1045730037895
